index,count,count_CCR,count_cys,shape_kid,shape_CCR,shape_cys,lumi_mean,lumi_std,lumi_max,lumi_min,lumi_mean_SE2_CCR,lumi_std_SE2_CCR,lumi_max_SE2_CCR,lumi_min_SE2_CCR,lumi_mean_SE2_cys,lumi_std_SE2_cys,lumi_max_SE2_cys,lumi_min_SE2_cys,lumi_mean_SE3_kid,lumi_std_SE3_kid,lumi_max_SE3_kid,lumi_min_SE3_kid,lumi_mean_SE3_CCR,lumi_std_SE3_CCR,lumi_max_SE3_CCR,lumi_min_SE3_CCR,lumi_mean_SE3_cys,lumi_std_SE3_cys,lumi_max_SE3_cys,lumi_min_SE3_cys
22,427524,15074.0,,69,21,0,68.79447235710744,59.00705602991421,326,-152,89.09247711290966,48.397335143770896,232.0,-131.0,,,,,92.48985,58.048469999999995,206.85193,-140.67743000000002,75.449265,31.824965000000002,183.47388,-104.09943,,,,
23,836671,,11096.0,95,0,15,128.6550543762124,125.12508657058693,606,-166,,,,,-19.553352559480892,51.9191321992939,355.0,-148.0,116.07345600000001,90.91544,310.62523999999996,-134.18463,,,,,-15.197369,44.430653,227.61877,-115.32495
24,389116,,1843.0,59,0,16,129.92310519228198,82.21317230646176,379,-132,,,,,50.505697232772654,67.4442785228579,265.0,-106.0,134.85541,61.80716999999999,231.86853,-117.58953999999999,,,,,61.24644,67.15741,204.44885,-86.228516
25,491407,84357.0,,62,27,0,92.11348027195379,66.91777940080914,320,-151,70.677193356805,50.44657883891708,256.0,-123.0,,,,,109.84126,64.71694000000001,256.5017,-131.90253,71.872,36.738255,182.82825,-99.756165,,,,
26,329735,,42871.0,68,0,23,79.40930747418382,58.1312024220119,268,-236,,,,,12.550232091623707,11.172430528694985,120.0,-65.0,104.29195,61.203590000000005,214.09521,-314.0655,,,,,13.925296,11.965003,128.40186,-53.596252
28,347469,17345.0,,52,14,0,104.44297189101763,64.00608009195695,341,-146,109.47206687806283,51.474957999323685,274.0,-107.0,,,,,157.41173,65.22694,280.45227,-113.75781,106.40987,35.82227,253.08752,-92.38452,,,,
29,436753,40828.0,,62,23,0,102.42908005211183,52.447043020649566,320,-328,104.70921916331928,48.645890848370115,256.0,-80.0,,,,,128.70338,43.92641,237.49585,-293.20984,90.270546,27.699171000000003,173.08264,-56.357117,,,,
30,589626,234937.0,95533.0,65,43,43,76.72929958990953,62.5092817300399,680,-146,95.61794012863022,57.4056465836455,680.0,-92.0,8.933625030094312,24.93587016505009,241.0,-131.0,89.909485,61.895331999999996,522.3463,-129.51855,93.80128,41.382465,522.3463,-82.07257,10.710169,24.390401999999998,201.49036,-124.90875
31,703174,365868.0,9501.0,86,64,13,60.87202456291046,46.71196750174365,325,-184,50.92017612909574,32.123539681961645,325.0,-114.0,0.3536469845279444,31.968882463529273,175.0,-129.0,92.25716,59.385025,256.3352,-429.41815,64.75577,32.78461,238.8689,-97.28064,6.308681,35.40869,198.49695,-109.8313
32,510077,128803.0,,62,34,0,119.23361374851248,64.42484145501552,378,-151,119.4153629962035,73.29303594867746,362.0,-128.0,,,,,129.65367,55.92646800000001,233.08081,-131.6549,99.109985,47.5701,205.4519,-119.6109,,,,
